Name,Mean (ps),2*Stdev (ps)
All.comparison: creation benchmark (big).spade 2 hierarchy.local insertion.200000,62424975000,6197038792
All.comparison: creation benchmark (big).spade 2 hierarchy.local insertion.250000,78417200000,6409241642
All.comparison: creation benchmark (big).spade 2 hierarchy.uniform.50000,13181056250,1005755424
All.comparison: creation benchmark (big).spade 2 hierarchy.uniform.100000,28586450000,2673386972
All.comparison: creation benchmark (big).spade 2 hierarchy.uniform.150000,44010650000,2021629058
All.comparison: creation benchmark (big).spade 2 hierarchy.uniform.200000,59890175000,5809751818
All.comparison: creation benchmark (big).spade 2 hierarchy.uniform.250000,75895000000,6561182462
All.comparison: creation benchmark (big).cdt.local insertion.50000,9128981250,596708714
All.comparison: creation benchmark (big).cdt.local insertion.100000,19291684375,941077158
All.comparison: creation benchmark (big).cdt.local insertion.150000,30478712500,2905155418
All.comparison: creation benchmark (big).cdt.local insertion.200000,43376825000,4072327000
All.comparison: creation benchmark (big).cdt.local insertion.250000,51589950000,2924665110
All.comparison: creation benchmark (big).cdt.uniform.50000,9820000000,497804632
All.comparison: creation benchmark (big).cdt.uniform.100000,21700550000,2012852490
All.comparison: creation benchmark (big).cdt.uniform.150000,33737687500,2831421076
All.comparison: creation benchmark (big).cdt.uniform.200000,46536000000,4006474798
All.comparison: creation benchmark (big).cdt.uniform.250000,59000575000,3794775062
All.comparison: creation benchmark (big).delaunator.local insertion.50000,8823378125,479189366
All.comparison: creation benchmark (big).delaunator.local insertion.100000,18195250000,1687113288
All.comparison: creation benchmark (big).delaunator.local insertion.150000,29343925000,2801122354
All.comparison: creation benchmark (big).delaunator.local insertion.200000,40274575000,2694573716
All.comparison: creation benchmark (big).delaunator.local insertion.250000,49776562500,3476526688
All.comparison: creation benchmark (big).delaunator.uniform.50000,8941543750,515525472
All.comparison: creation benchmark (big).delaunator.uniform.100000,20220106250,1433431376
All.comparison: creation benchmark (big).delaunator.uniform.150000,32929950000,1999631738
All.comparison: creation benchmark (big).delaunator.uniform.200000,47867912500,2109953742
All.comparison: creation benchmark (big).delaunator.uniform.250000,62895562500,4251324242
All.comparison: creation benchmark (big).moonlight-triangulation.local insertion.50000,13681425000,1341389228
All.comparison: creation benchmark (big).moonlight-triangulation.local insertion.100000,27817600000,2383313052
All.comparison: creation benchmark (big).moonlight-triangulation.local insertion.150000,42187700000,3457408306
All.comparison: creation benchmark (big).moonlight-triangulation.local insertion.200000,56689550000,3935926852
All.comparison: creation benchmark (big).moonlight-triangulation.local insertion.250000,69787000000,4072997820
All.comparison: creation benchmark (big).moonlight-triangulation.uniform.50000,14152556250,850348700
All.comparison: creation benchmark (big).moonlight-triangulation.uniform.100000,29102100000,1893614166
All.comparison: creation benchmark (big).moonlight-triangulation.uniform.150000,43781937500,1809538010
All.comparison: creation benchmark (big).moonlight-triangulation.uniform.200000,59424625000,3754358134
All.comparison: creation benchmark (big).moonlight-triangulation.uniform.250000,73458750000,4283188210
